Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),30,50,0,80
ABSTUDY (Non-Living Allowance),50,65,0,115
Age Pension,10010,15045,0,25055
Austudy,145,130,0,275
Carer Allowance,1415,4575,0,5990
Carer Allowance (Child Health Care Card only),10,85,0,95
Carer Payment,545,1310,0,1855
Commonwealth Seniors Health Card,4850,5800,0,10650
Disability Support Pension,4670,4385,0,9055
Health Care Card,5540,8395,0,13935
JobSeeker Payment,4265,3095,0,7360
Low Income Card,595,1000,0,1595
Parenting Payment Partnered,60,350,0,410
Parenting Payment Single,175,2590,0,2765
Pension Concession Card,17385,25340,0,42725
Special Benefit,40,50,0,90
Youth Allowance (other),415,410,0,825
Youth Allowance (student and apprentice),1015,1390,0,2405
All Payments,51215,74065,0,125280
