Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),955,1440,0,2395
ABSTUDY (Non-Living Allowance),2860,3605,0,6465
Age Pension,351325,443610,0,794935
Austudy,2500,3040,0,5540
Carer Allowance,55790,157005,0,212795
Carer Allowance (Child Health Care Card only),225,2425,0,2650
Carer Payment,32945,78530,0,111475
Commonwealth Seniors Health Card,84790,93300,0,178090
Disability Support Pension,131060,113165,0,244225
Health Care Card,128190,222100,5,350295
JobSeeker Payment,126005,107325,0,233330
Low Income Card,11460,17795,5,29260
Parenting Payment Partnered,1820,16015,0,17835
Parenting Payment Single,5210,86565,0,91775
Pension Concession Card,587075,793660,5,1380740
Special Benefit,1070,1605,0,2675
Youth Allowance (other),11565,11590,0,23155
Youth Allowance (student and apprentice),16350,22825,0,39175
All Payments,1551195,2175600,15,3726810
