Payment type,Male,Female,Other,Total
ABSTUDY (Living Allowance),190,305,0,495
ABSTUDY (Non-Living Allowance),445,510,0,955
Age Pension,95875,122470,0,218345
Austudy,780,895,0,1675
Carer Allowance,14290,39765,0,54055
Carer Allowance (Child Health Care Card only),60,655,0,715
Carer Payment,7545,16940,0,24485
Commonwealth Seniors Health Card,18535,19690,0,38225
Disability Support Pension,36550,31150,0,67700
Health Care Card,36170,61435,5,97610
JobSeeker Payment,38345,32065,0,70410
Low Income Card,4615,6990,0,11605
Parenting Payment Partnered,430,4000,0,4430
Parenting Payment Single,1590,20940,0,22530
Pension Concession Card,163585,213990,0,377575
Special Benefit,130,245,0,375
Youth Allowance (other),3660,3460,0,7120
Youth Allowance (student and apprentice),3750,5740,0,9490
All Payments,426545,581245,5,1007795
