Payment type,Age Group,Count
ABSTUDY (Living Allowance),Under 16,715
ABSTUDY (Non-Living Allowance),Under 16,13630
Age Pension,Under 16,0
Austudy,Under 16,0
Carer Allowance,Under 16,15
Carer Allowance (Child Health Care Card only),Under 16,0
Carer Payment,Under 16,5
Commonwealth Rent Assistance,Under 16,300
Commonwealth Seniors Health Card,Under 16,0
Disability Support Pension,Under 16,0
Family Tax Benefit A,Under 16,60
Family Tax Benefit B,Under 16,60
Health Care Card,Under 16,3150
JobSeeker Payment,Under 16,0
Low Income Card,Under 16,280
Parenting Payment Partnered,Under 16,0
Parenting Payment Single,Under 16,75
Pension Concession Card,Under 16,75
Special Benefit,Under 16,805
Youth Allowance (other),Under 16,5
Youth Allowance (student and apprentice),Under 16,5
ABSTUDY (Living Allowance),16-20,3240
ABSTUDY (Non-Living Allowance),16-20,2040
Age Pension,16-20,0
Austudy,16-20,0
Carer Allowance,16-20,2130
Carer Allowance (Child Health Care Card only),16-20,5
Carer Payment,16-20,2070
Commonwealth Rent Assistance,16-20,21190
Commonwealth Seniors Health Card,16-20,0
Disability Support Pension,16-20,23940
Family Tax Benefit A,16-20,8225
Family Tax Benefit B,16-20,8070
Health Care Card,16-20,139300
JobSeeker Payment,16-20,0
Low Income Card,16-20,13415
Parenting Payment Partnered,16-20,1195
Parenting Payment Single,16-20,5805
Pension Concession Card,16-20,38255
Special Benefit,16-20,125
Youth Allowance (other),16-20,66405
Youth Allowance (student and apprentice),16-20,56410
ABSTUDY (Living Allowance),21-24,1480
ABSTUDY (Non-Living Allowance),21-24,975
Age Pension,21-24,0
Austudy,21-24,0
Carer Allowance,21-24,5645
Carer Allowance (Child Health Care Card only),21-24,95
Carer Payment,21-24,4955
Commonwealth Rent Assistance,21-24,61595
Commonwealth Seniors Health Card,21-24,0
Disability Support Pension,21-24,30535
Family Tax Benefit A,21-24,41660
Family Tax Benefit B,21-24,39160
Health Care Card,21-24,153425
JobSeeker Payment,21-24,72270
Low Income Card,21-24,15675
Parenting Payment Partnered,21-24,5240
Parenting Payment Single,21-24,24460
Pension Concession Card,21-24,78975
Special Benefit,21-24,140
Youth Allowance (other),21-24,19095
Youth Allowance (student and apprentice),21-24,57165
ABSTUDY (Living Allowance),25-34,1300
ABSTUDY (Non-Living Allowance),25-34,1310
Age Pension,25-34,0
Austudy,25-34,14275
Carer Allowance,25-34,52420
Carer Allowance (Child Health Care Card only),25-34,1775
Carer Payment,25-34,28915
Commonwealth Rent Assistance,25-34,222990
Commonwealth Seniors Health Card,25-34,0
Disability Support Pension,25-34,85530
Family Tax Benefit A,25-34,344930
Family Tax Benefit B,25-34,293795
Health Care Card,25-34,274360
JobSeeker Payment,25-34,177475
Low Income Card,25-34,20475
