Payment type,Under 1 year,1-<2 years,2-<5 years,5-<10 years,10 years+,Average duration on payment (weeks)
ABSTUDY 1,3740,2110,1460,175,5,66
ABSTUDY 2,6750,5805,6505,145,5,77
Age Pension,106670,177635,361405,627500,1309780,609
Austudy,9475,6320,4815,185,30,70
Carer Payment,34730,38230,79200,75710,79115,356
Disability Pension,43260,47625,95385,106070,496445,755
JobSeeker Payment,291195,128800,386720,0,0,113
Parenting Pay 1,15555,11895,20700,8050,1480,153
Parenting Pay 2,115025,40950,83335,54870,15190,165
Special Benefit,1975,2115,1765,700,10,117
Youth Allowance 1,45760,20810,18480,455,0,64
Youth Allowance 2,44995,38085,36000,2765,5,82
