Payment type,No earnings,Had earnings,>$0-<$100,$100-<$150,$150-<$250,$250+
ABSTUDY (Living Allowance),"5,580","1,905",110,85,145,"1,565"
Age Pension,"2,497,830","85,165","2,955","2,490","6,600","73,120"
Austudy,"12,155","8,665",195,165,455,"7,850"
Carer Payment,"275,625","31,360",775,670,"1,955","27,955"
Disability Support Pension,"731,735","57,045","3,870","3,440","7,560","42,180"
JobSeeker Payment,"648,390","158,325","4,975","4,110","9,445","139,800"
Parenting Payment Partnered,"49,720","7,965",300,210,540,"6,915"
Parenting Payment Single,"194,785","114,585","1,915","1,390","3,950","107,330"
Special Benefit,"6,360",205,15,10,25,160
Youth Allowance (other),"70,540","14,965",940,715,"1,455","11,855"
Youth Allowance (student and apprentice),"64,960","56,890","1,610","1,655","4,245","49,380"
