SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Rent Assistance,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Pension Concession Card,Special Benefit,Youth Allowance (other),Youth Allowance (student and apprentice),Total Count
101021007,Braidwood,0,5,495,5,85,5,55,150,175,140,200,155,155,115,15,5,45,810,0,10,5,2630
101021008,Karabar,5,10,740,5,205,5,80,325,155,305,395,340,320,215,25,10,135,1385,0,30,5,4695
101021009,Queanbeyan,5,5,1055,5,165,5,55,610,190,390,405,335,330,305,25,15,115,1785,5,35,15,5855
101021010,Queanbeyan - East,0,5,335,5,70,5,25,255,75,130,200,175,145,115,10,5,50,600,0,10,5,2220
101021012,Queanbeyan West - Jerrabomberra,5,5,550,5,175,5,40,205,175,160,335,255,255,140,25,10,75,890,0,10,15,3335
101021610,Googong,0,0,120,5,70,0,15,65,35,40,180,125,90,25,10,5,25,220,0,5,5,1040
101021611,Queanbeyan Surrounds,5,5,855,5,215,5,60,250,405,200,390,295,310,145,30,10,80,1285,0,15,10,4575
101031013,Bombala,0,0,340,0,70,0,35,130,65,105,130,105,105,80,25,5,40,575,0,5,5,1820
101031014,Cooma,5,5,955,5,165,5,70,505,165,295,335,265,265,195,30,15,100,1540,5,20,10,4955
101031015,Cooma Surrounds,0,5,390,0,70,0,25,70,115,95,130,80,105,85,15,5,20,605,0,10,5,1830
101031016,Jindabyne - Berridale,0,0,485,5,65,5,20,180,225,95,230,145,190,120,35,5,25,685,0,10,10,2535
101041017,Batemans Bay,5,25,1675,5,320,5,150,790,280,515,550,440,495,405,65,20,190,2790,0,50,15,8790
101041018,Batemans Bay - South,5,15,1770,5,325,5,155,665,380,410,495,385,395,300,65,15,150,2670,0,30,5,8245
